"location_id","location_type","avg_income","date","daily_footfall","daily_avg_dwell","daily_vehicle_count","temp_c","is_rain","total_revenue","avg_transaction_value","revenue_per_visitor"
286,street,4700.00,2024-09-23,639,11.18,332,,,,,
287,market,4400.00,2024-09-23,581,10.51,294,,,,,
288,residential_commercial,4900.00,2024-09-23,436,9.80,214,,,,,
289,industrial_zone,4800.00,2024-09-23,472,10.06,232,,,,,
290,transport_hub,4600.00,2024-09-23,559,10.84,287,,,,,
291,street,4500.00,2024-09-23,584,10.90,320,,,,,
292,market,4200.00,2024-09-23,612,11.04,335,,,,,
293,industrial_zone,4700.00,2024-09-23,470,11.50,255,,,,,
286,street,4700.00,2024-09-23,639,11.18,332,,,,,
287,market,4400.00,2024-09-23,581,10.51,294,,,,,
288,residential_commercial,4900.00,2024-09-23,436,9.80,214,,,,,
279,residential_commercial,5200.00,2024-09-23,507,13.44,264,,,,,
289,industrial_zone,4800.00,2024-09-23,472,10.06,232,,,,,
278,industrial_zone,4900.00,2024-09-23,365,14.18,188,,,,,
290,transport_hub,4600.00,2024-09-23,559,10.84,287,,,,,
281,street,4600.00,2024-09-23,980,13.64,507,,,,,
282,market,4300.00,2024-09-23,834,12.21,437,,,,,
283,industrial_zone,4800.00,2024-09-23,836,12.23,437,,,,,
284,residential_commercial,5000.00,2024-09-23,767,11.79,395,,,,,
285,transport_hub,4500.00,2024-09-23,665,11.25,345,,,,,
286,street,4700.00,2024-09-23,639,11.18,332,,,,,
287,market,4400.00,2024-09-23,581,10.51,294,,,,,
288,residential_commercial,4900.00,2024-09-23,436,9.80,214,,,,,
289,industrial_zone,4800.00,2024-09-23,472,10.06,232,,,,,
290,transport_hub,4600.00,2024-09-23,559,10.84,287,,,,,
291,street,4500.00,2024-09-23,584,10.90,320,,,,,
292,market,4200.00,2024-09-23,612,11.04,335,,,,,
293,industrial_zone,4700.00,2024-09-23,470,11.50,255,,,,,
281,street,4600.00,2024-09-23,980,13.64,507,,,,,
282,market,4300.00,2024-09-23,834,12.21,437,,,,,
283,industrial_zone,4800.00,2024-09-23,836,12.23,437,,,,,
284,residential_commercial,5000.00,2024-09-23,767,11.79,395,,,,,
285,transport_hub,4500.00,2024-09-23,665,11.25,345,,,,,
286,street,4700.00,2024-09-23,639,11.18,332,,,,,
287,market,4400.00,2024-09-23,581,10.51,294,,,,,
288,residential_commercial,4900.00,2024-09-23,436,9.80,214,,,,,
289,industrial_zone,4800.00,2024-09-23,472,10.06,232,,,,,
290,transport_hub,4600.00,2024-09-23,559,10.84,287,,,,,
291,street,4500.00,2024-09-23,584,10.90,320,,,,,
292,market,4200.00,2024-09-23,612,11.04,335,,,,,
293,industrial_zone,4700.00,2024-09-23,470,11.50,255,,,,,
275,street,5200.00,2024-09-23,358,14.10,186,,,,,
281,street,4600.00,2024-09-23,980,13.64,507,,,,,
280,transport_hub,4800.00,2024-09-23,299,13.02,155,,,,,
282,market,4300.00,2024-09-23,834,12.21,437,,,,,
277,market,4700.00,2024-09-23,455,13.47,234,,,,,
283,industrial_zone,4800.00,2024-09-23,836,12.23,437,,,,,
284,residential_commercial,5000.00,2024-09-23,767,11.79,395,,,,,
285,transport_hub,4500.00,2024-09-23,665,11.25,345,,,,,
