"event_id","name","event_type","location_lat","location_lon","start_date","end_date","expected_attendance","event_influence_radius_m","created_at"
1,Cairo International Book Fair,cultural,30.0116,31.2089,2024-09-15,2024-09-28,1200000,5000,2026-01-19 16:04:02.288 +0200
2,Zamalek Derby Screening,sports,30.0611,31.2197,2024-09-22,2024-09-22,35000,3000,2026-01-19 16:04:02.288 +0200
3,Downtown Street Food Festival,food,30.0444,31.2357,2024-09-20,2024-09-23,180000,2500,2026-01-19 16:04:02.288 +0200
4,Nasr City Mall Clearance Sale,commercial,30.0561,31.33,2024-09-18,2024-09-25,220000,4000,2026-01-19 16:04:02.288 +0200
5,Open-Air Concert at Al Azhar Park,music,30.0408,31.2623,2024-09-21,2024-09-21,15000,2000,2026-01-19 16:04:02.288 +0200
6,Tech Startup Meetup Cairo,business,30.0735,31.3451,2024-09-24,2024-09-24,1200,1500,2026-01-19 16:04:02.288 +0200
7,Friday Prayer Overflow,religious,30.0449,31.2499,2024-09-20,2024-09-20,80000,1800,2026-01-19 16:04:02.288 +0200
8,University Orientation Week,education,30.0645,31.2786,2024-09-17,2024-09-24,60000,3500,2026-01-19 16:04:02.288 +0200
9,Night Market – Maadi,commercial,29.9602,31.2569,2024-09-22,2024-09-23,22000,2000,2026-01-19 16:04:02.288 +0200
10,Charity Marathon – New Cairo,sports,30.0276,31.4966,2024-09-29,2024-09-29,9000,4500,2026-01-19 16:04:02.288 +0200
