"location_id","hour","total_people","avg_dwell","total_vehicles","bad_intervals"
1,2024-09-01 09:00:00.000,410,6.14,,
1,2024-09-01 10:00:00.000,316,8.45,,
1,2024-09-01 11:00:00.000,114,9.75,,
2,2024-09-01 08:00:00.000,76,3.37,,
2,2024-09-01 10:00:00.000,401,8.62,,
2,2024-09-01 11:00:00.000,63,10.20,,
2,2024-09-01 12:00:00.000,281,8.70,,
2,2024-09-01 13:00:00.000,195,10.80,,
3,2024-09-01 13:00:00.000,67,11.00,,
3,2024-09-01 14:00:00.000,393,7.93,,
3,2024-09-01 16:00:00.000,185,6.33,,
3,2024-09-01 17:00:00.000,214,4.27,,
3,2024-09-01 19:00:00.000,430,12.60,,
3,2024-09-02 00:00:00.000,18,5.40,,
4,2024-09-02 00:00:00.000,16,2.55,,
4,2024-09-02 08:00:00.000,133,6.30,,
4,2024-09-02 09:00:00.000,365,9.33,,
4,2024-09-03 11:00:00.000,79,8.60,,
4,2024-09-04 12:00:00.000,84,9.00,,
4,2024-09-05 15:00:00.000,88,7.30,,
4,2024-09-06 18:00:00.000,91,9.80,,
4,2024-09-06 20:00:00.000,73,6.90,,
4,2024-09-07 08:00:00.000,33,3.80,,
5,2024-09-02 07:00:00.000,86,3.75,,
5,2024-09-02 08:00:00.000,201,8.03,,
5,2024-09-02 10:00:00.000,203,7.03,,
5,2024-09-02 11:00:00.000,319,11.68,,
5,2024-09-02 14:00:00.000,337,8.63,,
6,2024-09-02 16:00:00.000,93,9.65,,
6,2024-09-02 18:00:00.000,220,4.50,,
6,2024-09-02 19:00:00.000,255,7.90,,
6,2024-09-02 20:00:00.000,371,13.60,,
6,2024-09-03 00:00:00.000,71,5.47,,
6,2024-09-05 10:00:00.000,93,9.50,,
6,2024-09-06 17:00:00.000,57,10.10,,
7,2024-09-03 08:00:00.000,170,6.70,,
7,2024-09-03 10:00:00.000,301,10.17,,
7,2024-09-03 13:00:00.000,207,11.67,,
7,2024-09-03 15:00:00.000,249,7.90,,
7,2024-09-07 07:00:00.000,39,3.50,,
7,2024-09-07 13:00:00.000,76,7.10,,
7,2024-09-07 21:00:00.000,133,14.50,,
8,2024-09-03 13:00:00.000,183,4.30,,
8,2024-09-03 14:00:00.000,376,9.37,,
8,2024-09-03 16:00:00.000,101,9.85,,
8,2024-09-03 17:00:00.000,469,14.18,,
8,2024-09-03 18:00:00.000,161,4.75,,
8,2024-09-03 19:00:00.000,187,8.85,,
9,2024-09-03 18:00:00.000,0,4.50,,
9,2024-09-03 22:00:00.000,276,15.15,,
9,2024-09-04 00:00:00.000,36,5.00,,
9,2024-09-04 07:00:00.000,157,6.53,,
9,2024-09-04 09:00:00.000,303,10.30,,
9,2024-09-06 11:00:00.000,99,10.10,,
9,2024-09-06 23:00:00.000,129,14.80,,
9,2024-09-07 15:00:00.000,61,10.60,,
9,2024-09-07 20:00:00.000,88,8.10,,
10,2024-09-04 08:00:00.000,170,10.00,,
10,2024-09-04 09:00:00.000,108,11.00,,
10,2024-09-04 11:00:00.000,235,7.60,,
10,2024-09-04 12:00:00.000,186,4.50,,
10,2024-09-04 14:00:00.000,694,12.28,,
11,2024-09-04 14:00:00.000,131,9.60,,
11,2024-09-04 17:00:00.000,97,9.75,,
11,2024-09-04 18:00:00.000,164,4.85,,
11,2024-09-04 19:00:00.000,78,4.60,,
11,2024-09-04 20:00:00.000,191,8.95,,
11,2024-09-04 22:00:00.000,280,15.40,,
11,2024-09-05 00:00:00.000,34,4.90,,
11,2024-09-06 10:00:00.000,102,10.40,,
11,2024-09-06 23:00:00.000,131,15.00,,
11,2024-09-07 14:00:00.000,64,10.90,,
11,2024-09-07 21:00:00.000,90,8.40,,
12,2024-09-05 06:00:00.000,45,5.70,,
12,2024-09-05 07:00:00.000,27,6.00,,
12,2024-09-05 09:00:00.000,494,10.53,,
12,2024-09-05 12:00:00.000,270,8.77,,
12,2024-09-05 13:00:00.000,207,5.20,,
12,2024-09-05 16:00:00.000,118,14.30,,
13,2024-09-05 14:00:00.000,415,10.20,,
13,2024-09-05 16:00:00.000,372,14.90,,
13,2024-09-05 17:00:00.000,95,9.55,,
13,2024-09-05 19:00:00.000,247,4.95,,
13,2024-09-05 20:00:00.000,203,9.40,,
13,2024-09-05 22:00:00.000,294,16.05,,
13,2024-09-06 00:00:00.000,15,4.70,,
14,2024-09-07 10:00:00.000,106,10.90,,
14,2024-09-07 15:00:00.000,67,11.20,,
14,2024-09-07 21:00:00.000,93,8.70,,
14,2024-09-07 23:00:00.000,134,15.40,,
14,2024-09-08 08:00:00.000,161,6.70,,
14,2024-09-08 09:00:00.000,387,9.78,,
14,2024-09-08 10:00:00.000,174,10.40,,
14,2024-09-08 11:00:00.000,71,7.10,,
15,2024-09-08 07:00:00.000,143,4.10,,
15,2024-09-08 11:00:00.000,156,7.70,,
15,2024-09-08 12:00:00.000,367,12.70,,
15,2024-09-08 13:00:00.000,241,8.95,,
15,2024-09-08 14:00:00.000,127,9.40,,
15,2024-09-08 16:00:00.000,95,9.45,,
15,2024-09-08 19:00:00.000,178,8.30,,
16,2024-09-08 18:00:00.000,152,4.77,,
16,2024-09-08 19:00:00.000,95,8.80,,
16,2024-09-08 22:00:00.000,260,14.80,,
16,2024-09-09 00:00:00.000,41,5.15,,
16,2024-09-09 07:00:00.000,99,6.20,,
16,2024-09-09 09:00:00.000,95,9.80,,
16,2024-09-10 10:00:00.000,99,10.00,,
16,2024-09-11 15:00:00.000,63,10.70,,
16,2024-09-13 20:00:00.000,92,8.60,,
16,2024-09-14 23:00:00.000,135,15.30,,
17,2024-09-09 08:00:00.000,148,4.30,,
17,2024-09-09 09:00:00.000,100,10.20,,
17,2024-09-09 10:00:00.000,284,10.53,,
17,2024-09-09 11:00:00.000,151,7.40,,
17,2024-09-09 12:00:00.000,82,8.00,,
17,2024-09-09 13:00:00.000,408,13.50,,
17,2024-09-09 14:00:00.000,126,9.30,,
18,2024-09-09 14:00:00.000,266,9.75,,
18,2024-09-09 17:00:00.000,99,9.65,,
18,2024-09-09 18:00:00.000,234,4.85,,
18,2024-09-09 19:00:00.000,183,8.60,,
18,2024-09-09 22:00:00.000,264,15.05,,
18,2024-09-10 00:00:00.000,38,5.00,,
18,2024-09-11 10:00:00.000,102,10.40,,
18,2024-09-12 15:00:00.000,65,11.00,,
18,2024-09-13 21:00:00.000,94,8.90,,
19,2024-09-10 08:00:00.000,135,6.93,,
19,2024-09-10 10:00:00.000,324,11.00,,
19,2024-09-10 13:00:00.000,408,8.08,,
19,2024-09-10 15:00:00.000,264,8.43,,
19,2024-09-14 23:00:00.000,137,15.50,,
20,2024-09-10 14:00:00.000,408,10.10,,
20,2024-09-10 17:00:00.000,591,12.95,,
20,2024-09-10 18:00:00.000,82,5.10,,
20,2024-09-10 19:00:00.000,252,6.13,,
20,2024-09-10 20:00:00.000,101,9.30,,
20,2024-09-10 22:00:00.000,282,15.75,,
21,2024-09-11 00:00:00.000,18,4.90,,
21,2024-09-11 06:00:00.000,63,5.43,,
21,2024-09-11 08:00:00.000,171,10.30,,
21,2024-09-11 09:00:00.000,303,10.40,,
21,2024-09-11 10:00:00.000,155,7.60,,
21,2024-09-12 10:00:00.000,109,11.20,,
21,2024-09-13 16:00:00.000,68,11.30,,
21,2024-09-14 21:00:00.000,98,9.10,,
21,2024-09-14 23:00:00.000,141,15.80,,
22,2024-09-11 11:00:00.000,84,8.20,,
22,2024-09-11 12:00:00.000,190,4.80,,
22,2024-09-11 14:00:00.000,879,12.61,,
22,2024-09-11 17:00:00.000,97,9.65,,
22,2024-09-11 19:00:00.000,83,5.20,,
22,2024-09-11 20:00:00.000,198,9.20,,
23,2024-09-11 19:00:00.000,79,4.85,,
23,2024-09-11 22:00:00.000,288,15.85,,
23,2024-09-12 00:00:00.000,16,4.80,,
23,2024-09-12 06:00:00.000,69,5.63,,
23,2024-09-12 09:00:00.000,368,10.53,,
23,2024-09-13 10:00:00.000,110,11.40,,
23,2024-09-14 16:00:00.000,69,11.50,,
23,2024-09-14 21:00:00.000,99,9.30,,
23,2024-09-15 00:00:00.000,143,16.10,,
24,2024-09-12 09:00:00.000,130,10.90,,
24,2024-09-12 12:00:00.000,276,9.00,,
24,2024-09-12 13:00:00.000,139,5.15,,
24,2024-09-12 14:00:00.000,504,9.20,,
24,2024-09-12 16:00:00.000,498,14.83,,
24,2024-09-12 17:00:00.000,51,9.90,,
25,2024-09-12 17:00:00.000,48,9.60,,
25,2024-09-12 19:00:00.000,245,5.07,,
25,2024-09-12 20:00:00.000,204,9.70,,
25,2024-09-12 23:00:00.000,298,16.35,,
25,2024-09-13 00:00:00.000,17,4.90,,
25,2024-09-14 11:00:00.000,111,11.60,,
25,2024-09-14 16:00:00.000,70,11.60,,
25,2024-09-14 22:00:00.000,101,9.60,,
25,2024-09-15 00:00:00.000,145,16.30,,
25,2024-09-15 08:00:00.000,135,7.50,,
26,2024-09-15 08:00:00.000,228,7.52,,
26,2024-09-15 09:00:00.000,603,9.48,,
26,2024-09-15 10:00:00.000,174,10.90,,
27,2024-09-15 10:00:00.000,292,10.96,,
27,2024-09-15 13:00:00.000,733,8.18,,
27,2024-09-15 19:00:00.000,150,12.25,,
28,2024-09-15 19:00:00.000,470,12.45,,
28,2024-09-16 00:00:00.000,119,5.54,,
28,2024-09-16 09:00:00.000,390,9.70,,
29,2024-09-16 09:00:00.000,1280,10.43,,
29,2024-09-16 10:00:00.000,55,7.90,,
30,2024-09-16 10:00:00.000,1057,8.96,,
31,2024-09-16 10:00:00.000,228,9.90,,
31,2024-09-16 19:00:00.000,1058,13.02,,
32,2024-09-16 19:00:00.000,602,13.40,,
32,2024-09-17 09:00:00.000,612,9.30,,
33,2024-09-17 09:00:00.000,535,9.19,,
33,2024-09-17 10:00:00.000,728,11.60,,
34,2024-09-17 09:00:00.000,547,9.35,,
34,2024-09-17 10:00:00.000,688,11.10,,
35,2024-09-17 09:00:00.000,682,8.80,,
35,2024-09-17 10:00:00.000,390,10.40,,
36,2024-09-17 10:00:00.000,258,11.20,,
36,2024-09-18 09:00:00.000,880,8.79,,
37,2024-09-18 09:00:00.000,1138,9.16,,
38,2024-09-18 09:00:00.000,1087,8.86,,
39,2024-09-18 09:00:00.000,1182,9.39,,
40,2024-09-18 09:00:00.000,1107,8.98,,
41,2024-09-18 09:00:00.000,1121,9.01,,
42,2024-09-18 09:00:00.000,525,9.50,,
42,2024-09-19 08:00:00.000,504,7.90,,
43,2024-09-19 08:00:00.000,886,7.87,,
44,2024-09-19 08:00:00.000,935,8.19,,
45,2024-09-19 08:00:00.000,970,8.48,,
46,2024-09-19 08:00:00.000,962,8.38,,
47,2024-09-19 08:00:00.000,971,8.43,,
48,2024-09-19 08:00:00.000,662,8.33,,
48,2024-09-20 09:00:00.000,310,8.40,,
49,2024-09-20 09:00:00.000,1051,8.77,,
50,2024-09-20 09:00:00.000,1045,8.73,,
51,2024-09-20 09:00:00.000,1121,9.27,,
52,2024-09-20 09:00:00.000,1095,9.04,,
53,2024-09-20 09:00:00.000,1063,8.84,,
54,2024-09-20 09:00:00.000,1065,9.30,,
54,2024-09-20 10:00:00.000,62,8.60,,
55,2024-09-20 10:00:00.000,1089,9.21,,
56,2024-09-20 10:00:00.000,1127,9.51,,
57,2024-09-20 10:00:00.000,1146,9.62,,
58,2024-09-20 10:00:00.000,1106,9.23,,
59,2024-09-20 10:00:00.000,390,10.10,,
59,2024-09-20 11:00:00.000,756,9.46,,
60,2024-09-20 11:00:00.000,1084,9.32,,
61,2024-09-20 11:00:00.000,1067,9.16,,
62,2024-09-20 11:00:00.000,1147,9.76,,
63,2024-09-20 11:00:00.000,1091,9.32,,
64,2024-09-20 11:00:00.000,1155,9.72,,
65,2024-09-20 11:00:00.000,630,9.50,,
65,2024-09-20 12:00:00.000,483,9.50,,
66,2024-09-20 12:00:00.000,1111,9.48,,
67,2024-09-20 12:00:00.000,1113,9.44,,
68,2024-09-20 12:00:00.000,1173,9.95,,
69,2024-09-20 12:00:00.000,1167,9.79,,
70,2024-09-20 12:00:00.000,1121,9.55,,
71,2024-09-20 12:00:00.000,962,10.00,,
71,2024-09-20 13:00:00.000,198,9.30,,
72,2024-09-20 13:00:00.000,1135,9.74,,
73,2024-09-20 13:00:00.000,1137,9.89,,
74,2024-09-20 13:00:00.000,1201,10.36,,
75,2024-09-20 13:00:00.000,1143,9.89,,
76,2024-09-20 13:00:00.000,1129,9.75,,
77,2024-09-20 13:00:00.000,1197,10.27,,
78,2024-09-20 13:00:00.000,80,10.70,,
78,2024-09-21 14:00:00.000,1105,10.17,,
79,2024-09-21 14:00:00.000,1245,10.77,,
80,2024-09-21 14:00:00.000,1190,10.50,,
81,2024-09-21 14:00:00.000,1226,10.69,,
82,2024-09-21 14:00:00.000,1204,10.46,,
83,2024-09-21 14:00:00.000,1250,10.89,,
84,2024-09-21 14:00:00.000,400,10.90,,
84,2024-09-21 15:00:00.000,844,10.56,,
85,2024-09-21 15:00:00.000,1212,10.55,,
86,2024-09-21 15:00:00.000,1195,10.48,,
87,2024-09-21 15:00:00.000,1275,11.13,,
88,2024-09-21 15:00:00.000,1219,10.68,,
89,2024-09-21 15:00:00.000,1282,11.26,,
90,2024-09-21 15:00:00.000,693,10.70,,
90,2024-09-21 16:00:00.000,518,10.50,,
91,2024-09-21 16:00:00.000,1191,10.56,,
92,2024-09-21 16:00:00.000,1193,10.68,,
93,2024-09-21 16:00:00.000,1253,11.36,,
94,2024-09-21 16:00:00.000,1247,11.08,,
95,2024-09-21 16:00:00.000,1201,10.81,,
96,2024-09-21 16:00:00.000,1017,11.14,,
96,2024-09-21 17:00:00.000,216,10.40,,
97,2024-09-21 17:00:00.000,1231,10.84,,
98,2024-09-21 17:00:00.000,1233,11.06,,
99,2024-09-21 17:00:00.000,1297,11.65,,
100,2024-09-21 17:00:00.000,1239,11.03,,
101,2024-09-21 17:00:00.000,1225,10.94,,
102,2024-09-21 17:00:00.000,1293,11.54,,
103,2024-09-21 17:00:00.000,86,11.80,,
103,2024-09-21 18:00:00.000,1165,11.07,,
104,2024-09-21 18:00:00.000,1309,11.86,,
105,2024-09-21 18:00:00.000,1254,11.44,,
106,2024-09-21 18:00:00.000,1290,11.65,,
107,2024-09-21 18:00:00.000,1268,11.50,,
108,2024-09-21 18:00:00.000,1314,11.93,,
109,2024-09-21 18:00:00.000,420,11.80,,
109,2024-09-21 19:00:00.000,940,11.96,,
110,2024-09-21 19:00:00.000,1336,11.95,,
111,2024-09-21 19:00:00.000,1325,11.90,,
112,2024-09-21 19:00:00.000,1399,12.44,,
113,2024-09-21 19:00:00.000,1345,12.08,,
114,2024-09-21 19:00:00.000,1419,12.53,,
115,2024-09-21 19:00:00.000,756,12.00,,
115,2024-09-21 20:00:00.000,609,12.50,,
116,2024-09-21 20:00:00.000,1375,12.43,,
117,2024-09-21 20:00:00.000,1397,12.62,,
118,2024-09-21 20:00:00.000,1464,13.17,,
119,2024-09-21 20:00:00.000,1429,12.95,,
120,2024-09-21 20:00:00.000,1407,12.73,,
121,2024-09-21 20:00:00.000,1159,12.86,,
121,2024-09-21 21:00:00.000,258,12.60,,
122,2024-09-21 21:00:00.000,1428,12.93,,
123,2024-09-21 21:00:00.000,1464,13.18,,
124,2024-09-21 21:00:00.000,1528,13.65,,
125,2024-09-21 21:00:00.000,1436,13.08,,
126,2024-09-21 21:00:00.000,1445,13.09,,
127,2024-09-21 21:00:00.000,1513,13.54,,
128,2024-09-21 21:00:00.000,98,13.80,,
128,2024-09-21 22:00:00.000,1360,13.07,,
129,2024-09-21 22:00:00.000,1536,13.66,,
130,2024-09-21 22:00:00.000,1474,13.30,,
131,2024-09-21 22:00:00.000,1490,13.45,,
132,2024-09-21 22:00:00.000,1483,13.36,,
133,2024-09-21 22:00:00.000,1537,13.83,,
134,2024-09-21 22:00:00.000,480,13.70,,
134,2024-09-21 23:00:00.000,964,12.85,,
135,2024-09-21 23:00:00.000,1400,12.88,,
136,2024-09-21 23:00:00.000,1392,12.81,,
137,2024-09-21 23:00:00.000,1479,13.38,,
138,2024-09-21 23:00:00.000,1420,13.00,,
139,2024-09-21 23:00:00.000,1493,13.53,,
140,2024-09-21 23:00:00.000,792,12.90,,
140,2024-09-22 00:00:00.000,518,11.20,,
141,2024-09-22 00:00:00.000,1174,11.11,,
142,2024-09-22 00:00:00.000,1182,11.16,,
143,2024-09-22 00:00:00.000,1251,11.92,,
144,2024-09-22 00:00:00.000,1235,11.64,,
145,2024-09-22 00:00:00.000,1183,11.36,,
146,2024-09-22 00:00:00.000,1007,11.74,,
146,2024-09-22 01:00:00.000,174,9.30,,
147,2024-09-22 01:00:00.000,1016,9.85,,
148,2024-09-22 01:00:00.000,1025,10.06,,
149,2024-09-22 01:00:00.000,1100,10.53,,
150,2024-09-22 01:00:00.000,1054,10.22,,
151,2024-09-22 01:00:00.000,1016,9.94,,
152,2024-09-22 01:00:00.000,1110,10.58,,
153,2024-09-22 01:00:00.000,75,11.10,,
153,2024-09-22 02:00:00.000,895,9.37,,
154,2024-09-22 02:00:00.000,1031,9.96,,
155,2024-09-22 02:00:00.000,980,9.69,,
156,2024-09-22 02:00:00.000,1017,9.97,,
157,2024-09-22 02:00:00.000,992,9.73,,
158,2024-09-22 02:00:00.000,1060,10.40,,
159,2024-09-22 02:00:00.000,345,10.50,,
159,2024-09-22 03:00:00.000,636,9.17,,
160,2024-09-22 03:00:00.000,931,9.29,,
161,2024-09-22 03:00:00.000,926,9.23,,
162,2024-09-22 03:00:00.000,1001,9.92,,
163,2024-09-22 03:00:00.000,961,9.56,,
164,2024-09-22 03:00:00.000,1007,9.99,,
165,2024-09-22 03:00:00.000,558,9.80,,
165,2024-09-22 04:00:00.000,378,8.80,,
166,2024-09-22 04:00:00.000,887,8.92,,
167,2024-09-22 04:00:00.000,896,8.92,,
168,2024-09-22 04:00:00.000,969,9.75,,
169,2024-09-22 04:00:00.000,953,9.47,,
170,2024-09-22 04:00:00.000,904,9.11,,
171,2024-09-22 04:00:00.000,793,9.67,,
171,2024-09-22 05:00:00.000,162,9.10,,
172,2024-09-22 05:00:00.000,952,9.54,,
173,2024-09-22 05:00:00.000,956,9.66,,
174,2024-09-22 05:00:00.000,1039,10.25,,
175,2024-09-22 05:00:00.000,965,9.81,,
176,2024-09-22 05:00:00.000,956,9.60,,
177,2024-09-22 05:00:00.000,1021,10.16,,
178,2024-09-22 05:00:00.000,69,10.50,,
178,2024-09-22 06:00:00.000,960,10.23,,
179,2024-09-22 06:00:00.000,1090,10.76,,
180,2024-09-22 06:00:00.000,1044,10.39,,
181,2024-09-22 06:00:00.000,1058,10.44,,
182,2024-09-22 06:00:00.000,1049,10.42,,
183,2024-09-22 06:00:00.000,1099,10.91,,
184,2024-09-22 06:00:00.000,350,10.80,,
184,2024-09-22 07:00:00.000,876,12.35,,
185,2024-09-22 07:00:00.000,1251,12.19,,
186,2024-09-22 07:00:00.000,1235,12.04,,
187,2024-09-22 07:00:00.000,1342,12.91,,
188,2024-09-22 07:00:00.000,1311,12.68,,
189,2024-09-22 07:00:00.000,1365,13.08,,
190,2024-09-22 07:00:00.000,720,12.30,,
190,2024-09-22 08:00:00.000,686,14.20,,
191,2024-09-22 08:00:00.000,1534,13.99,,
192,2024-09-22 08:00:00.000,1492,13.67,,
193,2024-09-22 08:00:00.000,1573,14.35,,
194,2024-09-22 08:00:00.000,1553,14.16,,
195,2024-09-22 08:00:00.000,1443,13.26,,
196,2024-09-22 08:00:00.000,1239,13.91,,
196,2024-09-22 09:00:00.000,330,15.50,,
197,2024-09-22 09:00:00.000,1794,15.66,,
198,2024-09-22 09:00:00.000,1716,15.19,,
199,2024-09-22 09:00:00.000,1879,16.22,,
200,2024-09-22 09:00:00.000,1772,15.63,,
201,2024-09-22 09:00:00.000,1737,15.36,,
202,2024-09-22 09:00:00.000,1784,15.71,,
203,2024-09-22 09:00:00.000,118,16.40,,
203,2024-09-22 10:00:00.000,1705,16.90,,
204,2024-09-22 10:00:00.000,1743,16.29,,
205,2024-09-22 10:00:00.000,1750,16.64,,
206,2024-09-22 10:00:00.000,1733,16.42,,
207,2024-09-22 10:00:00.000,1665,15.88,,
208,2024-09-22 10:00:00.000,1764,16.61,,
209,2024-09-22 10:00:00.000,520,15.80,,
209,2024-09-22 11:00:00.000,1371,17.80,,
210,2024-09-22 11:00:00.000,1797,16.98,,
211,2024-09-22 11:00:00.000,1793,16.85,,
212,2024-09-22 11:00:00.000,1922,17.86,,
213,2024-09-22 11:00:00.000,1827,17.14,,
214,2024-09-22 11:00:00.000,1917,17.76,,
215,2024-09-22 11:00:00.000,963,16.20,,
