"location_id","latitude","longitude","location_name","location_type","population","avg_income","competitor_count","competitor_density","catchment_radius_m","created_at"
1,30.0444,31.2357,Downtown Cairo - Talaat Harb,street,120000,8500.00,48,0.0153,600,2026-01-19 16:03:47.235 +0200
2,30.0451,31.2369,Downtown Cairo - Qasr El Nil,street,115000,8700.00,52,0.0161,600,2026-01-19 16:03:47.235 +0200
3,30.0478,31.2336,Abdeen Square,market,98000,7200.00,61,0.0189,550,2026-01-19 16:03:47.235 +0200
4,30.0502,31.2381,Ramses Street,transport_hub,140000,6900.00,73,0.0214,650,2026-01-19 16:03:47.235 +0200
5,30.0561,31.2395,El Gomhoreya Street,street,102000,7600.00,46,0.0148,600,2026-01-19 16:03:47.235 +0200
6,30.0626,31.2497,Shubra - Ahmed Helmy,street,165000,5400.00,69,0.0196,700,2026-01-19 16:03:47.235 +0200
7,30.0643,31.2458,Shubra - Rod El Farag,market,172000,5200.00,82,0.0228,700,2026-01-19 16:03:47.235 +0200
8,30.0685,31.2433,Shubra Square,commercial_area,160000,5600.00,74,0.0205,650,2026-01-19 16:03:47.235 +0200
9,30.0709,31.2401,Shubra - Massara,street,148000,5900.00,66,0.0182,650,2026-01-19 16:03:47.235 +0200
10,30.0734,31.2368,Shubra - Khalafawy,street,155000,5700.00,71,0.0194,650,2026-01-19 16:03:47.235 +0200
11,30.0299,31.2122,Dokki - Tahrir Axis,street,88000,11000.00,39,0.0121,600,2026-01-19 16:03:47.235 +0200
12,30.0282,31.2159,Dokki Square,commercial_area,92000,11500.00,42,0.0134,600,2026-01-19 16:03:47.235 +0200
13,30.0308,31.2186,Dokki - Sudan Street,street,97000,10400.00,45,0.0142,650,2026-01-19 16:03:47.235 +0200
14,30.0331,31.2208,Dokki - Mossadak,street,91000,11800.00,38,0.0119,600,2026-01-19 16:03:47.235 +0200
15,30.0357,31.2242,Dokki - Shooting Club Area,residential_commercial,86000,12200.00,33,0.0108,550,2026-01-19 16:03:47.235 +0200
16,30.0176,31.2001,Mohandessin - Gameat El Dowal,street,94000,12500.00,47,0.0146,600,2026-01-19 16:03:47.235 +0200
17,30.0199,31.2029,Mohandessin - Lebanon Square,commercial_area,99000,13200.00,54,0.0168,650,2026-01-19 16:03:47.235 +0200
18,30.0224,31.2058,Mohandessin - Shehab Street,street,97000,12800.00,49,0.0152,600,2026-01-19 16:03:47.235 +0200
19,30.0247,31.2085,Mohandessin - Arab League,street,93000,13500.00,46,0.0141,600,2026-01-19 16:03:47.235 +0200
20,30.0268,31.2109,Mohandessin - Zamalek Bridge Axis,street,89000,14000.00,41,0.0127,600,2026-01-19 16:03:47.235 +0200
21,30.0589,31.3456,Nasr City - Abbas El Akkad,street,130000,9800.00,58,0.0172,700,2026-01-19 16:03:47.235 +0200
