"promo_id","business_id","start_date","end_date","promo_type","expected_lift_pct","created_at"
1,201,2024-09-20,2024-09-22,discount_10pct,8.5,2026-01-19 16:04:04.972 +0200
2,202,2024-09-21,2024-09-23,buy_one_get_one,15.0,2026-01-19 16:04:04.972 +0200
3,203,2024-09-18,2024-09-25,clearance_sale,22.0,2026-01-19 16:04:04.972 +0200
4,204,2024-09-22,2024-09-22,flash_sale,12.0,2026-01-19 16:04:04.972 +0200
5,205,2024-09-19,2024-09-26,bundle_offer,9.0,2026-01-19 16:04:04.972 +0200
6,206,2024-09-23,2024-09-24,student_discount,6.5,2026-01-19 16:04:04.972 +0200
7,207,2024-09-20,2024-09-30,loyalty_points_boost,5.0,2026-01-19 16:04:04.972 +0200
8,208,2024-09-24,2024-09-24,happy_hour,10.0,2026-01-19 16:04:04.972 +0200
9,209,2024-09-22,2024-09-28,seasonal_offer,7.5,2026-01-19 16:04:04.972 +0200
10,210,2024-09-25,2024-09-27,weekend_promo,11.0,2026-01-19 16:04:04.972 +0200
11,201,2024-09-25,2024-09-30,happy_hour,9.0,2026-01-19 16:04:04.972 +0200
12,202,2024-09-26,2024-10-02,combo_meal,11.5,2026-01-19 16:04:04.972 +0200
13,203,2024-10-01,2024-10-07,seasonal_menu,6.0,2026-01-19 16:04:04.972 +0200
14,204,2024-09-28,2024-09-28,flash_sale,13.0,2026-01-19 16:04:04.972 +0200
15,205,2024-10-03,2024-10-10,loyalty_bonus,4.5,2026-01-19 16:04:04.972 +0200
16,211,2024-09-22,2024-10-05,clearance_sale,24.0,2026-01-19 16:04:04.972 +0200
17,212,2024-09-29,2024-10-06,buy_two_get_one,14.0,2026-01-19 16:04:04.972 +0200
18,213,2024-10-01,2024-10-15,seasonal_offer,8.0,2026-01-19 16:04:04.972 +0200
19,214,2024-09-27,2024-09-30,discount_15pct,12.0,2026-01-19 16:04:04.972 +0200
20,215,2024-09-24,2024-10-01,new_customer_offer,10.0,2026-01-19 16:04:04.972 +0200
21,216,2024-10-02,2024-10-09,referral_bonus,5.5,2026-01-19 16:04:04.972 +0200
22,201,2024-09-27,2024-09-29,weekend_promo,7.0,2026-01-19 16:04:04.972 +0200
23,203,2024-10-05,2024-10-06,flash_sale,16.0,2026-01-19 16:04:04.972 +0200
24,217,2024-09-23,2024-09-30,branding_campaign,2.0,2026-01-19 16:04:04.972 +0200
25,218,2024-09-25,2024-10-25,awareness_offer,1.5,2026-01-19 16:04:04.972 +0200
26,219,2024-10-04,2024-10-04,grand_opening,30.0,2026-01-19 16:04:04.972 +0200
27,220,2024-10-06,2024-10-06,one_day_sale,18.0,2026-01-19 16:04:04.972 +0200
