"business_id","location_id","name","business_type","product_type","owner_experience_years","work_hours_per_day","work_days_per_week","store_area_m2","rent_monthly","staff_cost_monthly","utilities_cost_monthly","opening_date","created_at"
1,1,Talaat Harb Cafe,cafe,coffee_beverages,8,14,7,85,22000.00,18000.00,4200.00,2019-03-15,2026-01-19 16:03:50.006 +0200
2,2,Downtown Express Pharmacy,pharmacy,medicines,12,12,7,60,18000.00,14000.00,3500.00,2018-07-10,2026-01-19 16:03:50.006 +0200
3,3,Abdeen Grill House,restaurant,grilled_food,10,13,7,120,26000.00,24000.00,5200.00,2020-01-20,2026-01-19 16:03:50.006 +0200
4,4,Ramses Mobile Center,retail,electronics,6,11,7,45,15000.00,9000.00,2800.00,2021-05-05,2026-01-19 16:03:50.006 +0200
5,5,El Gomhoreya Stationery,retail,office_supplies,9,10,6,55,13000.00,8000.00,2200.00,2017-09-12,2026-01-19 16:03:50.006 +0200
6,6,Shubra Fresh Market,grocery,food_items,15,14,7,140,21000.00,26000.00,4800.00,2016-11-03,2026-01-19 16:03:50.006 +0200
7,7,Rod El Farag Fish Shop,retail,seafood,18,13,7,90,17000.00,15000.00,3600.00,2015-04-18,2026-01-19 16:03:50.006 +0200
8,8,Shubra Electronics Hub,retail,home_appliances,7,11,6,75,16000.00,12000.00,3000.00,2021-02-14,2026-01-19 16:03:50.006 +0200
9,9,Massara Bakery,bakery,bread_pastries,20,15,7,65,14000.00,16000.00,3900.00,2014-06-01,2026-01-19 16:03:50.006 +0200
10,10,Khalafawy Coffee Corner,cafe,hot_drinks,5,12,7,50,12000.00,9000.00,2500.00,2022-08-09,2026-01-19 16:03:50.006 +0200
11,11,Dokki Healthy Bites,restaurant,healthy_food,6,12,6,95,24000.00,21000.00,4700.00,2020-10-22,2026-01-19 16:03:50.006 +0200
12,12,Dokki Optical Center,retail,eyewear,14,10,6,70,19000.00,13000.00,3200.00,2016-03-30,2026-01-19 16:03:50.006 +0200
13,13,Sudan Street Shawarma,restaurant,fast_food,9,14,7,80,20000.00,19000.00,4100.00,2019-12-05,2026-01-19 16:03:50.006 +0200
14,14,Mossadak Bookstore,retail,books,11,9,6,60,17000.00,10000.00,2600.00,2017-05-19,2026-01-19 16:03:50.006 +0200
15,15,Shooting Club Juice Bar,cafe,fresh_juice,4,10,6,45,15000.00,8500.00,2400.00,2023-01-11,2026-01-19 16:03:50.006 +0200
16,17,Lebanon Square Bistro,restaurant,international_food,13,13,7,130,28000.00,26000.00,5600.00,2018-09-02,2026-01-19 16:03:50.006 +0200
17,16,Gameat El Dowal Fashion,retail,clothing,10,11,7,85,22000.00,15000.00,3300.00,2019-04-27,2026-01-19 16:03:50.006 +0200
18,18,Shehab Electronics Repair,service,device_repair,16,10,6,50,16000.00,11000.00,2800.00,2015-11-16,2026-01-19 16:03:50.006 +0200
