"location_id","date","daily_footfall","daily_avg_dwell","daily_vehicle_count","hours_of_operation","missing_intervals","created_at"
1,2024-09-01,840,8.11,350,3,224,2026-01-19 16:04:12.741 +0200
2,2024-09-01,1016,8.34,504,5,104,2026-01-19 16:04:12.741 +0200
3,2024-09-01,1289,8.43,667,5,81,2026-01-19 16:04:12.741 +0200
3,2024-09-02,18,5.40,9,1,23,2026-01-19 16:04:12.741 +0200
4,2024-09-02,514,6.06,229,3,86,2026-01-19 16:04:12.741 +0200
4,2024-09-03,79,8.60,32,1,23,2026-01-19 16:04:12.741 +0200
4,2024-09-04,84,9.00,36,1,23,2026-01-19 16:04:12.741 +0200
4,2024-09-05,88,7.30,40,1,23,2026-01-19 16:04:12.741 +0200
4,2024-09-06,164,8.35,76,2,22,2026-01-19 16:04:12.741 +0200
4,2024-09-07,33,3.80,48,1,23,2026-01-19 16:04:12.741 +0200
5,2024-09-02,1146,7.82,639,5,80,2026-01-19 16:04:12.741 +0200
6,2024-09-02,939,8.91,522,4,61,2026-01-19 16:04:12.741 +0200
6,2024-09-03,71,5.47,33,1,69,2026-01-19 16:04:12.741 +0200
6,2024-09-05,93,9.50,40,1,23,2026-01-19 16:04:12.741 +0200
6,2024-09-06,57,10.10,23,1,23,2026-01-19 16:04:12.741 +0200
7,2024-09-03,927,9.11,430,4,83,2026-01-19 16:04:12.741 +0200
7,2024-09-07,248,8.37,147,3,21,2026-01-19 16:04:12.741 +0200
8,2024-09-03,1477,8.55,820,6,80,2026-01-19 16:04:12.741 +0200
9,2024-09-03,276,9.83,191,2,45,2026-01-19 16:04:12.741 +0200
9,2024-09-04,496,7.28,228,3,87,2026-01-19 16:04:12.741 +0200
9,2024-09-06,228,12.45,103,2,22,2026-01-19 16:04:12.741 +0200
9,2024-09-07,149,9.35,70,2,22,2026-01-19 16:04:12.741 +0200
10,2024-09-04,1393,9.08,750,5,128,2026-01-19 16:04:12.741 +0200
11,2024-09-04,941,8.86,466,6,38,2026-01-19 16:04:12.741 +0200
11,2024-09-05,34,4.90,17,1,46,2026-01-19 16:04:12.741 +0200
11,2024-09-06,233,12.70,106,2,22,2026-01-19 16:04:12.741 +0200
11,2024-09-07,154,9.65,73,2,22,2026-01-19 16:04:12.741 +0200
12,2024-09-05,1161,8.42,674,6,128,2026-01-19 16:04:12.741 +0200
13,2024-09-05,1626,10.84,854,6,57,2026-01-19 16:04:12.741 +0200
13,2024-09-06,15,4.70,7,1,23,2026-01-19 16:04:12.741 +0200
14,2024-09-07,400,11.55,188,4,20,2026-01-19 16:04:12.741 +0200
14,2024-09-08,793,8.49,358,4,84,2026-01-19 16:04:12.741 +0200
15,2024-09-08,1307,8.66,695,7,80,2026-01-19 16:04:12.741 +0200
16,2024-09-08,507,9.46,364,3,66,2026-01-19 16:04:12.741 +0200
16,2024-09-09,235,7.05,110,3,66,2026-01-19 16:04:12.741 +0200
16,2024-09-10,99,10.00,42,1,23,2026-01-19 16:04:12.741 +0200
16,2024-09-11,63,10.70,25,1,23,2026-01-19 16:04:12.741 +0200
16,2024-09-13,92,8.60,50,1,23,2026-01-19 16:04:12.741 +0200
16,2024-09-14,135,15.30,64,1,23,2026-01-19 16:04:12.741 +0200
17,2024-09-09,1299,9.03,698,7,80,2026-01-19 16:04:12.741 +0200
18,2024-09-09,1046,9.58,577,5,61,2026-01-19 16:04:12.741 +0200
18,2024-09-10,38,5.00,19,1,46,2026-01-19 16:04:12.741 +0200
18,2024-09-11,102,10.40,45,1,23,2026-01-19 16:04:12.741 +0200
18,2024-09-12,65,11.00,26,1,23,2026-01-19 16:04:12.741 +0200
18,2024-09-13,94,8.90,52,1,23,2026-01-19 16:04:12.741 +0200
19,2024-09-10,1131,8.61,620,4,129,2026-01-19 16:04:12.741 +0200
19,2024-09-14,137,15.50,65,1,23,2026-01-19 16:04:12.741 +0200
20,2024-09-10,1716,9.89,827,6,128,2026-01-19 16:04:12.741 +0200
21,2024-09-11,710,7.73,354,5,60,2026-01-19 16:04:12.741 +0200
21,2024-09-12,109,11.20,48,1,23,2026-01-19 16:04:12.741 +0200
21,2024-09-13,68,11.30,27,1,23,2026-01-19 16:04:12.741 +0200
21,2024-09-14,239,12.45,121,2,22,2026-01-19 16:04:12.741 +0200
22,2024-09-11,1531,8.28,855,6,152,2026-01-19 16:04:12.741 +0200
23,2024-09-11,367,10.35,272,2,44,2026-01-19 16:04:12.741 +0200
23,2024-09-12,453,6.99,213,3,88,2026-01-19 16:04:12.741 +0200
