"log_id","source_table","record_date","completeness_pct","anomaly_flag"
1,RealTime_Metrics,2024-09-18,100.00,false
2,RealTime_Metrics,2024-09-22,100.00,false
3,RealTime_Metrics,2024-09-20,100.00,false
4,RealTime_Metrics,2024-09-17,100.00,false
5,RealTime_Metrics,2024-09-11,100.00,false
6,RealTime_Metrics,2024-09-23,100.00,false
7,RealTime_Metrics,2024-09-06,100.00,false
8,RealTime_Metrics,2024-09-21,100.00,false
9,RealTime_Metrics,2024-09-14,100.00,false
10,RealTime_Metrics,2024-09-03,100.00,false
11,RealTime_Metrics,2024-09-02,100.00,false
12,RealTime_Metrics,2024-09-07,100.00,false
13,RealTime_Metrics,2024-09-12,100.00,false
14,RealTime_Metrics,2024-09-09,100.00,false
15,RealTime_Metrics,2024-09-15,100.00,false
16,RealTime_Metrics,2024-09-01,100.00,false
17,RealTime_Metrics,2024-09-13,100.00,false
18,RealTime_Metrics,2024-09-19,100.00,false
19,RealTime_Metrics,2024-09-04,100.00,false
20,RealTime_Metrics,2024-09-05,100.00,false
21,RealTime_Metrics,2024-09-16,100.00,false
22,RealTime_Metrics,2024-09-10,100.00,false
23,RealTime_Metrics,2024-09-08,100.00,false
24,Daily_FPGA_Metrics,2024-09-18,0.00,true
25,Daily_FPGA_Metrics,2024-09-03,0.00,true
26,Daily_FPGA_Metrics,2024-09-13,4.17,true
27,Daily_FPGA_Metrics,2024-09-12,0.00,true
28,Daily_FPGA_Metrics,2024-09-23,0.00,true
29,Daily_FPGA_Metrics,2024-09-22,0.00,true
30,Daily_FPGA_Metrics,2024-09-06,6.67,true
31,Daily_FPGA_Metrics,2024-09-04,0.00,true
32,Daily_FPGA_Metrics,2024-09-02,0.00,true
33,Daily_FPGA_Metrics,2024-09-05,0.00,true
34,Daily_FPGA_Metrics,2024-09-21,0.00,true
35,Daily_FPGA_Metrics,2024-09-14,7.50,true
36,Daily_FPGA_Metrics,2024-09-09,0.00,true
37,Daily_FPGA_Metrics,2024-09-20,0.00,true
38,Daily_FPGA_Metrics,2024-09-16,0.00,true
39,Daily_FPGA_Metrics,2024-09-19,0.00,true
40,Daily_FPGA_Metrics,2024-09-17,0.00,true
41,Daily_FPGA_Metrics,2024-09-15,0.00,true
42,Daily_FPGA_Metrics,2024-09-01,0.00,true
43,Daily_FPGA_Metrics,2024-09-11,0.00,true
44,Daily_FPGA_Metrics,2024-09-10,0.00,true
45,Daily_FPGA_Metrics,2024-09-08,0.00,true
46,Daily_FPGA_Metrics,2024-09-07,10.00,true
47,RealTime_Metrics,2024-09-18,100.00,false
48,RealTime_Metrics,2024-09-22,100.00,false
49,RealTime_Metrics,2024-09-20,100.00,false
50,RealTime_Metrics,2024-09-17,100.00,false
51,RealTime_Metrics,2024-09-11,100.00,false
52,RealTime_Metrics,2024-09-23,100.00,false
53,RealTime_Metrics,2024-09-06,100.00,false
54,RealTime_Metrics,2024-09-21,100.00,false
55,RealTime_Metrics,2024-09-14,100.00,false
56,RealTime_Metrics,2024-09-03,100.00,false
57,RealTime_Metrics,2024-09-02,100.00,false
58,RealTime_Metrics,2024-09-07,100.00,false
59,RealTime_Metrics,2024-09-12,100.00,false
60,RealTime_Metrics,2024-09-09,100.00,false
61,RealTime_Metrics,2024-09-15,100.00,false
62,RealTime_Metrics,2024-09-01,100.00,false
63,RealTime_Metrics,2024-09-13,100.00,false
64,RealTime_Metrics,2024-09-19,100.00,false
65,RealTime_Metrics,2024-09-04,100.00,false
66,RealTime_Metrics,2024-09-05,100.00,false
67,RealTime_Metrics,2024-09-16,100.00,false
68,RealTime_Metrics,2024-09-10,100.00,false
69,RealTime_Metrics,2024-09-08,100.00,false
70,Weather,2024-09-24,100.00,false
71,Weather,2024-09-22,100.00,false
72,Weather,2024-09-23,100.00,false
73,Weather,2024-09-25,0.00,false
