"feature_id","business_id","location_id","date","feature_vector_hash","generated_at"
1,201,71,2024-09-20,"3a24a01fb744356236a69ab1939f0165",2026-01-19 16:08:02.430
2,207,77,2024-09-20,"7133e3fe7b86373efffa187f340da3c9",2026-01-19 16:08:02.430
3,205,75,2024-09-20,d68a37b0ad9dca5d8674f8c5adc3169d,2026-01-19 16:08:02.430
4,203,73,2024-09-20,"41dea2675f7a5e6cef0797cc58e626b1",2026-01-19 16:08:02.430
5,206,77,2024-09-20,"217dd831046320008595369c123b4165",2026-01-19 16:08:02.430
6,210,80,2024-09-21,b253801088210cfbda243f4aff3e376d,2026-01-19 16:08:02.430
7,208,78,2024-09-20,d3fa2d431d55bcd9108aae5cc404e7ff,2026-01-19 16:08:02.430
8,202,72,2024-09-20,ee8ad13a5b6c293249279ebf9c9e6f6b,2026-01-19 16:08:02.430
9,208,78,2024-09-21,"5b65f2311deddb52a8be23fc8c938600",2026-01-19 16:08:02.430
10,204,74,2024-09-20,"6ba334e2561b3afb4addbed14ef8b73d",2026-01-19 16:08:02.430
11,209,79,2024-09-21,d5e2e1c37c021a64611bb4aaefb1b3ef,2026-01-19 16:08:02.430
