"location_id","date","hour","hourly_footfall","hourly_avg_dwell","peak_hour_flag"
1,2024-09-01,9,410,6.14,true
1,2024-09-01,10,316,8.45,false
1,2024-09-01,11,114,9.75,false
2,2024-09-01,10,401,8.62,true
2,2024-09-01,12,281,8.70,false
2,2024-09-01,13,195,10.80,false
2,2024-09-01,8,76,3.37,false
2,2024-09-01,11,63,10.20,false
3,2024-09-01,19,430,12.60,true
3,2024-09-01,14,393,7.93,false
3,2024-09-01,17,214,4.27,false
3,2024-09-01,16,185,6.33,false
3,2024-09-01,13,67,11.00,false
3,2024-09-02,0,18,5.40,true
4,2024-09-02,9,365,9.33,true
4,2024-09-02,8,133,6.30,false
4,2024-09-02,0,16,2.55,false
4,2024-09-03,11,79,8.60,true
4,2024-09-04,12,84,9.00,true
4,2024-09-05,15,88,7.30,true
4,2024-09-06,18,91,9.80,true
4,2024-09-06,20,73,6.90,false
4,2024-09-07,8,33,3.80,true
5,2024-09-02,14,337,8.63,true
5,2024-09-02,11,319,11.68,false
5,2024-09-02,10,203,7.03,false
5,2024-09-02,8,201,8.03,false
5,2024-09-02,7,86,3.75,false
6,2024-09-02,20,371,13.60,true
6,2024-09-02,19,255,7.90,false
6,2024-09-02,18,220,4.50,false
6,2024-09-02,16,93,9.65,false
6,2024-09-03,0,71,5.47,true
6,2024-09-05,10,93,9.50,true
6,2024-09-06,17,57,10.10,true
7,2024-09-03,10,301,10.17,true
7,2024-09-03,15,249,7.90,false
7,2024-09-03,13,207,11.67,false
7,2024-09-03,8,170,6.70,false
7,2024-09-07,21,133,14.50,true
7,2024-09-07,13,76,7.10,false
7,2024-09-07,7,39,3.50,false
8,2024-09-03,17,469,14.18,true
8,2024-09-03,14,376,9.37,false
8,2024-09-03,19,187,8.85,false
8,2024-09-03,13,183,4.30,false
8,2024-09-03,18,161,4.75,false
8,2024-09-03,16,101,9.85,false
9,2024-09-03,22,276,15.15,true
9,2024-09-03,18,0,4.50,false
9,2024-09-04,9,303,10.30,true
9,2024-09-04,7,157,6.53,false
9,2024-09-04,0,36,5.00,false
