"business_id","date","staff_cost_ratio","rent_cost_ratio","profit_margin_est"
201,2024-09-20,0.053,0.033,0.903
202,2024-09-20,0.061,0.047,0.879
203,2024-09-20,0.018,0.021,0.956
204,2024-09-20,0.044,0.051,0.895
205,2024-09-20,0.040,0.046,0.906
206,2024-09-20,0.057,0.066,0.864
207,2024-09-20,0.064,0.036,0.889
208,2024-09-20,0.045,0.056,0.888
209,2024-09-20,0.040,0.035,0.917
210,2024-09-20,0.049,0.043,0.899
201,2024-09-21,0.041,0.026,0.925
202,2024-09-21,0.047,0.036,0.908
203,2024-09-21,0.014,0.017,0.966
204,2024-09-21,0.032,0.037,0.923
205,2024-09-21,0.031,0.035,0.928
206,2024-09-21,0.043,0.050,0.898
207,2024-09-21,0.048,0.027,0.915
208,2024-09-21,0.032,0.040,0.920
209,2024-09-21,0.031,0.027,0.936
210,2024-09-21,0.038,0.033,0.923
201,2024-09-22,0.038,0.024,0.932
202,2024-09-22,0.043,0.033,0.914
203,2024-09-22,0.015,0.018,0.964
204,2024-09-22,0.027,0.032,0.935
205,2024-09-22,0.028,0.032,0.933
206,2024-09-22,0.046,0.053,0.890
207,2024-09-22,0.045,0.025,0.922
208,2024-09-22,0.031,0.038,0.924
209,2024-09-22,0.029,0.025,0.941
210,2024-09-22,0.036,0.032,0.926
201,2024-09-23,0.056,0.035,0.898
202,2024-09-23,0.063,0.048,0.875
203,2024-09-23,0.019,0.023,0.954
204,2024-09-23,0.046,0.053,0.891
205,2024-09-23,0.041,0.047,0.902
206,2024-09-23,0.060,0.069,0.857
207,2024-09-23,0.066,0.037,0.885
208,2024-09-23,0.047,0.058,0.885
209,2024-09-23,0.041,0.036,0.915
210,2024-09-23,0.051,0.045,0.895
201,2024-09-24,0.054,0.034,0.902
202,2024-09-24,0.062,0.047,0.878
203,2024-09-24,0.019,0.022,0.955
204,2024-09-24,0.045,0.052,0.893
205,2024-09-24,0.041,0.046,0.904
206,2024-09-24,0.059,0.068,0.860
207,2024-09-24,0.065,0.036,0.887
208,2024-09-24,0.046,0.057,0.887
209,2024-09-24,0.041,0.035,0.916
210,2024-09-24,0.050,0.044,0.897
201,2024-09-25,0.052,0.033,0.905
202,2024-09-25,0.059,0.046,0.882
203,2024-09-25,0.018,0.021,0.957
204,2024-09-25,0.043,0.050,0.898
205,2024-09-25,0.039,0.045,0.907
206,2024-09-25,0.056,0.065,0.866
207,2024-09-25,0.062,0.035,0.891
208,2024-09-25,0.044,0.054,0.892
209,2024-09-25,0.039,0.034,0.920
210,2024-09-25,0.048,0.042,0.902
201,2024-09-26,0.050,0.031,0.910
202,2024-09-26,0.056,0.043,0.888
203,2024-09-26,0.017,0.020,0.959
204,2024-09-26,0.040,0.046,0.906
205,2024-09-26,0.037,0.042,0.913
206,2024-09-26,0.053,0.061,0.874
207,2024-09-26,0.059,0.033,0.897
208,2024-09-26,0.041,0.051,0.899
209,2024-09-26,0.037,0.032,0.924
210,2024-09-26,0.045,0.039,0.908
201,2024-09-27,0.042,0.027,0.923
202,2024-09-27,0.048,0.037,0.905
203,2024-09-27,0.014,0.017,0.966
204,2024-09-27,0.034,0.039,0.920
205,2024-09-27,0.031,0.036,0.926
206,2024-09-27,0.044,0.051,0.896
207,2024-09-27,0.050,0.028,0.913
208,2024-09-27,0.033,0.041,0.919
209,2024-09-27,0.032,0.028,0.934
210,2024-09-27,0.037,0.033,0.924
201,2024-09-28,0.036,0.023,0.934
202,2024-09-28,0.041,0.031,0.920
203,2024-09-28,0.013,0.015,0.970
204,2024-09-28,0.028,0.033,0.933
205,2024-09-28,0.027,0.030,0.937
206,2024-09-28,0.037,0.042,0.912
207,2024-09-28,0.043,0.024,0.925
208,2024-09-28,0.029,0.036,0.928
209,2024-09-28,0.028,0.024,0.943
210,2024-09-28,0.033,0.029,0.933
