"metric_id","location_id","timestamp","people_count","dwell_time_avg","vehicle_count","congestion_level","data_quality_flag","created_at"
1,1,2024-09-01 09:00:00.000 +0300,42,6.5,18,medium,0,2026-01-19 16:03:52.576 +0200
2,1,2024-09-01 09:05:00.000 +0300,47,6.8,21,medium,0,2026-01-19 16:03:52.576 +0200
3,1,2024-09-01 09:10:00.000 +0300,51,7.2,23,high,0,2026-01-19 16:03:52.576 +0200
4,1,2024-09-01 09:15:00.000 +0300,49,7.0,22,high,0,2026-01-19 16:03:52.576 +0200
5,1,2024-09-01 09:20:00.000 +0300,46,6.6,20,medium,0,2026-01-19 16:03:52.576 +0200
6,1,2024-09-01 09:00:00.000 +0300,31,5.1,14,medium,0,2026-01-19 16:03:52.576 +0200
7,1,2024-09-01 09:05:00.000 +0300,34,5.3,16,medium,0,2026-01-19 16:03:52.576 +0200
8,1,2024-09-01 09:10:00.000 +0300,38,5.7,17,high,0,2026-01-19 16:03:52.576 +0200
9,1,2024-09-01 09:15:00.000 +0300,36,5.6,16,medium,0,2026-01-19 16:03:52.576 +0200
10,1,2024-09-01 09:15:00.000 +0300,36,5.6,16,medium,1,2026-01-19 16:03:52.576 +0200
11,1,2024-09-01 10:00:00.000 +0300,78,8.4,31,high,0,2026-01-19 16:03:52.576 +0200
12,1,2024-09-01 10:05:00.000 +0300,82,8.7,34,high,0,2026-01-19 16:03:52.576 +0200
13,1,2024-09-01 10:10:00.000 +0300,80,8.5,33,high,0,2026-01-19 16:03:52.576 +0200
14,1,2024-09-01 10:15:00.000 +0300,76,8.2,30,medium,0,2026-01-19 16:03:52.576 +0200
15,1,2024-09-01 11:00:00.000 +0300,55,9.6,19,medium,0,2026-01-19 16:03:52.576 +0200
16,1,2024-09-01 11:05:00.000 +0300,59,9.9,20,medium,0,2026-01-19 16:03:52.576 +0200
17,2,2024-09-01 11:10:00.000 +0300,63,10.2,21,high,0,2026-01-19 16:03:52.576 +0200
18,2,2024-09-01 12:00:00.000 +0300,91,11.4,37,high,0,2026-01-19 16:03:52.576 +0200
19,2,2024-09-01 12:05:00.000 +0300,96,11.8,39,high,0,2026-01-19 16:03:52.576 +0200
20,2,2024-09-01 12:10:00.000 +0300,94,11.6,38,high,0,2026-01-19 16:03:52.576 +0200
21,2,2024-09-01 12:15:00.000 +0300,,0.0,0,low,1,2026-01-19 16:03:52.576 +0200
22,2,2024-09-01 08:30:00.000 +0300,22,3.1,41,medium,0,2026-01-19 16:03:52.576 +0200
23,2,2024-09-01 08:35:00.000 +0300,25,3.3,44,medium,0,2026-01-19 16:03:52.576 +0200
24,2,2024-09-01 08:40:00.000 +0300,29,3.7,46,high,0,2026-01-19 16:03:52.576 +0200
25,2,2024-09-01 10:20:00.000 +0300,74,8.1,29,medium,0,2026-01-19 16:03:52.576 +0200
26,2,2024-09-01 10:25:00.000 +0300,77,8.3,31,medium,0,2026-01-19 16:03:52.576 +0200
27,2,2024-09-01 10:30:00.000 +0300,83,8.9,35,high,0,2026-01-19 16:03:52.576 +0200
28,2,2024-09-01 10:35:00.000 +0300,86,9.1,37,high,0,2026-01-19 16:03:52.576 +0200
29,2,2024-09-01 10:40:00.000 +0300,81,8.7,34,high,0,2026-01-19 16:03:52.576 +0200
30,2,2024-09-01 13:00:00.000 +0300,61,10.4,22,medium,0,2026-01-19 16:03:52.576 +0200
31,2,2024-09-01 13:05:00.000 +0300,65,10.8,24,medium,0,2026-01-19 16:03:52.576 +0200
32,2,2024-09-01 13:10:00.000 +0300,69,11.2,26,high,0,2026-01-19 16:03:52.576 +0200
33,3,2024-09-01 13:15:00.000 +0300,67,11.0,25,high,0,2026-01-19 16:03:52.576 +0200
34,3,2024-09-01 14:00:00.000 +0300,92,7.6,41,high,0,2026-01-19 16:03:52.576 +0200
35,3,2024-09-01 14:05:00.000 +0300,98,7.9,44,high,0,2026-01-19 16:03:52.576 +0200
36,3,2024-09-01 14:10:00.000 +0300,104,8.2,46,high,0,2026-01-19 16:03:52.576 +0200
37,3,2024-09-01 14:15:00.000 +0300,99,8.0,45,high,0,2026-01-19 16:03:52.576 +0200
38,3,2024-09-01 16:00:00.000 +0300,58,6.1,33,medium,0,2026-01-19 16:03:52.576 +0200
39,3,2024-09-01 16:05:00.000 +0300,61,6.3,35,medium,0,2026-01-19 16:03:52.576 +0200
40,3,2024-09-01 16:10:00.000 +0300,66,6.6,38,high,0,2026-01-19 16:03:52.576 +0200
41,3,2024-09-01 17:30:00.000 +0300,71,4.2,58,high,0,2026-01-19 16:03:52.576 +0200
42,3,2024-09-01 17:35:00.000 +0300,74,4.5,62,high,0,2026-01-19 16:03:52.576 +0200
